quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.62,
	""maxJailTerm"":30,
	""movement"":false,
	""tickTime"":1000
}",,,
407,160,953,,,,,,,,,
408,164,948,,,,,,,,,
407,165,948,,,,,,,,,
408,159,953,,,,,,,,,
407,170,943,,,,,,,,,
407,158,955,,,,,,,,,
409,169,942,,,,,,,,,
407,200,913,,,,,,,,,
407,211,902,,,,,,,,,
407,213,900,,,,,,,,,
407,211,902,,,,,,,,,
408,205,907,,,,,,,,,
408,198,914,,,,,,,,,
407,189,924,,,,,,,,,
407,183,930,,,,,,,,,
407,189,924,,,,,,,,,
407,189,924,,,,,,,,,
407,207,906,,,,,,,,,
407,207,906,,,,,,,,,
407,210,903,,,,,,,,,
407,222,891,,,,,,,,,
407,228,885,,,,,,,,,
407,239,874,,,,,,,,,
407,230,883,,,,,,,,,
407,215,898,,,,,,,,,
407,222,891,,,,,,,,,
407,221,892,,,,,,,,,
407,215,898,,,,,,,,,
407,213,900,,,,,,,,,
407,213,900,,,,,,,,,
407,198,915,,,,,,,,,
407,180,933,,,,,,,,,
407,190,923,,,,,,,,,
408,197,915,,,,,,,,,
407,207,906,,,,,,,,,
407,201,912,,,,,,,,,
407,206,907,,,,,,,,,
407,213,900,,,,,,,,,
407,201,912,,,,,,,,,
407,196,917,,,,,,,,,
407,204,909,,,,,,,,,
407,216,897,,,,,,,,,
407,220,893,,,,,,,,,
407,227,886,,,,,,,,,
407,214,899,,,,,,,,,
407,212,901,,,,,,,,,
407,208,905,,,,,,,,,
407,210,903,,,,,,,,,
407,204,909,,,,,,,,,
407,200,913,,,,,,,,,
407,192,921,,,,,,,,,
407,189,924,,,,,,,,,
407,171,942,,,,,,,,,
407,177,936,,,,,,,,,
407,192,921,,,,,,,,,
407,186,927,,,,,,,,,
407,198,915,,,,,,,,,
407,193,920,,,,,,,,,
408,206,906,,,,,,,,,
407,207,906,,,,,,,,,
408,200,912,,,,,,,,,
407,195,918,,,,,,,,,
407,192,921,,,,,,,,,
407,196,917,,,,,,,,,
407,187,926,,,,,,,,,
407,197,916,,,,,,,,,
407,187,926,,,,,,,,,
407,187,926,,,,,,,,,
407,184,929,,,,,,,,,
407,179,934,,,,,,,,,
407,185,928,,,,,,,,,
407,185,928,,,,,,,,,
407,175,938,,,,,,,,,
407,166,947,,,,,,,,,
407,158,955,,,,,,,,,
407,161,952,,,,,,,,,
408,168,944,,,,,,,,,
407,168,945,,,,,,,,,
407,162,951,,,,,,,,,
407,159,954,,,,,,,,,
409,171,940,,,,,,,,,
407,174,939,,,,,,,,,
407,165,948,,,,,,,,,
407,160,953,,,,,,,,,
408,152,960,,,,,,,,,
407,156,957,,,,,,,,,
407,167,946,,,,,,,,,
407,172,941,,,,,,,,,
407,182,931,,,,,,,,,
