quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,
975,5,540,,,,,,,,,,
982,19,519,,,,,,,,,,
982,23,515,,,,,,,,,,
998,16,506,,,,,,,,,,
1024,6,490,,,,,,,,,,
1048,3,469,,,,,,,,,,
1078,1,441,,,,,,,,,,
1084,6,430,,,,,,,,,,
1113,9,398,,,,,,,,,,
1090,34,396,,,,,,,,,,
1001,106,413,,,,,,,,,,
940,150,430,,,,,,,,,,
872,190,458,,,,,,,,,,
845,203,472,,,,,,,,,,
845,181,494,,,,,,,,,,
846,149,525,,,,,,,,,,
853,123,544,,,,,,,,,,
863,88,569,,,,,,,,,,
883,53,584,,,,,,,,,,
917,27,576,,,,,,,,,,
929,16,575,,,,,,,,,,
958,7,555,,,,,,,,,,
994,1,525,,,,,,,,,,
1013,8,499,,,,,,,,,,
1019,12,489,,,,,,,,,,
1012,15,493,,,,,,,,,,
1017,18,485,,,,,,,,,,
1023,14,483,,,,,,,,,,
1031,10,479,,,,,,,,,,
1058,6,456,,,,,,,,,,
1063,14,443,,,,,,,,,,
1069,24,427,,,,,,,,,,
1046,47,427,,,,,,,,,,
970,110,440,,,,,,,,,,
910,137,473,,,,,,,,,,
858,158,504,,,,,,,,,,
845,138,537,,,,,,,,,,
849,106,565,,,,,,,,,,
859,77,584,,,,,,,,,,
874,58,588,,,,,,,,,,
894,21,605,,,,,,,,,,
945,3,572,,,,,,,,,,
982,1,537,,,,,,,,,,
1007,4,509,,,,,,,,,,
1030,13,477,,,,,,,,,,
1039,15,466,,,,,,,,,,
1033,23,464,,,,,,,,,,
1015,36,469,,,,,,,,,,
938,89,493,,,,,,,,,,
916,84,520,,,,,,,,,,
888,99,533,,,,,,,,,,
899,65,556,,,,,,,,,,
923,33,564,,,,,,,,,,
